Source,Target,weight,URL,Discipline,PY,Tweet,Group
@asallime,@sonjdol,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@DrHJLewis,@SocStudiesShef,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@WarrCriminology,@palgravecrim,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@StirlingUniCrim,@palgravecrim,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@drkate_gooch,@palgravecrim,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@SueLukes,@SocStudiesShef,1,https://www.altmetric.com/details/32251691,Law,2017,9,Publisher
@BenBooth157,@Elgar_Law,1,https://www.altmetric.com/details/51515448,Law,2018,9,Publisher
@datapertus,@Elgar_Law,1,https://www.altmetric.com/details/51515448,Law,2018,9,Publisher
@IGFTowardAccess,@Elgar_Law,1,https://www.altmetric.com/details/51515448,Law,2018,9,Publisher
@circt,@bhaggart,1,https://www.altmetric.com/details/51515448,Law,2018,9,Publisher
@iplawschool_ua,@Elgar_Law,1,https://www.altmetric.com/details/51515448,Law,2018,9,Publisher
@cave555,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@hartpublishing,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@julie_doughty,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@commentator01,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@tonliefaard,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@Ukilkelly,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@Lydia_Bracken,@briandsloan,1,https://www.altmetric.com/details/28284637,Law,2017,10,Publisher
@spdonlan,@sandbergrlaw,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@hledwards2,@Teeny310,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@CardiffLaw,@sandbergrlaw,2,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@LBLawCoP,@Teeny310,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@hmtennapel,@sandbergrlaw,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@HereIsJorge,@MauricePinay,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@Law_History,@sandbergrlaw,3,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@Network_FRS,@sandbergrlaw,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@Law_History,@CUP_Law,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@ThinkRights,@sandbergrlaw,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@JimOleske,@sandbergrlaw,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@dnpocklington,@will__adam,1,https://www.altmetric.com/details/18557046,Law,2017,25,Publisher
@BenBooth157,@Elgar_Law,1,https://www.altmetric.com/details/51502363,Law,2018,2,Publisher
@kimvie,@NeLLLieBly,2,https://www.altmetric.com/details/10901894,Law,2016,13,Publisher
@CienciaUCHCEU,@SpringerEthics,1,https://www.altmetric.com/details/10901894,Law,2016,13,Publisher
@CienciaUCHCEU,@SpringerPhil,1,https://www.altmetric.com/details/10901894,Law,2016,13,Publisher
@m_emilian,@SpringerEthics,1,https://www.altmetric.com/details/10901894,Law,2016,13,Publisher
@OmbudsBlog,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@TimmSachse,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@takis_kt,@MarineCornelis,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@CjScotland,@CJInnovation,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@OmbudAssoc,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@MarkOmorogbe,@CJInnovation,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@rmkirkham1,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@uk_aji,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@UlsterLawClinic,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@bristolunilaw,@palgravecrim,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@MrJohnBates,@MDmediation1,1,https://www.altmetric.com/details/34946234,Law,2018,16,Publisher
@BenBooth157,@Elgar_Law,1,https://www.altmetric.com/details/12705847,Law,2015,8,Publisher
@Elgar_Environ,@Elgar_Law,1,https://www.altmetric.com/details/12705847,Law,2015,8,Publisher
@DrRimmer,@Elgar_Law,1,https://www.altmetric.com/details/12705851,Law,2015,12,Publisher
@clovisml,@Elgar_Law,1,https://www.altmetric.com/details/12705851,Law,2015,12,Publisher
@missb62,@pohl_jason,1,https://www.altmetric.com/details/6797069,Law,2016,9,Publisher
@omerin_seruveni,@Filiz_Kartal,1,https://www.altmetric.com/details/6797069,Law,2016,9,Publisher
@sarahjkeenan,@socialjusticebk,1,https://www.altmetric.com/details/16422010,Law,2017,8,Publisher
@socialjusticebk,@FU_Research,1,https://www.altmetric.com/details/16422010,Law,2017,8,Publisher
@RoutledgeLaw,@socialjusticebk,1,https://www.altmetric.com/details/16422010,Law,2017,8,Publisher
@matthew_jewell,@socialjusticebk,1,https://www.altmetric.com/details/16422010,Law,2017,8,Publisher
@DavinaCooper5,@socialjusticebk,1,https://www.altmetric.com/details/16422010,Law,2017,8,Publisher
@BenBooth157,@Elgar_Law,1,https://www.altmetric.com/details/12722062,Law,2016,3,Publisher
@mjinteclaw,@CUP_Law,1,https://www.altmetric.com/details/27114590,Law,2017,5,Publisher
